Country,Year,Emission Source,Total Emissions
Malaysia,2018,Process,1259135.4216470001
Malaysia,2019,Biomass,619521.2411844
Malaysia,2019,Diesel Oil,575318.0707758
Malaysia,2019,Hard Coal,439924.7993405999
Malaysia,2019,Light Oil,4011676.7810670002
Malaysia,2019,Process,1576976.0147670002
Malaysia,2020,Biomass,610009.4371048999
Malaysia,2020,Diesel Oil,564123.0949110001
Malaysia,2020,Hard Coal,480043.67606370006
Malaysia,2020,Light Oil,4009433.4558449998
Malaysia,2020,Process,1594448.7305470002
Malaysia,2021,Biomass,600883.4612153999
Malaysia,2021,Diesel Oil,589117.1710986999
Malaysia,2021,Hard Coal,530396.723729
Malaysia,2021,Light Oil,3734849.425058
Malaysia,2021,Process,1611588.1593170003
Malaysia,2022,Biomass,599312.7545886999
Malaysia,2022,Diesel Oil,609260.2581903001
Malaysia,2022,Hard Coal,567746.8905264
Malaysia,2022,Light Oil,3567458.1883340003
Malaysia,2022,Process,1628471.062077
Malaysia,2023,Biomass,597638.9733499
Malaysia,2023,Diesel Oil,631665.5807824
Malaysia,2023,Hard Coal,550979.9250686999
Malaysia,2023,Light Oil,3410899.280685
Malaysia,2023,Process,1645206.1565470002
